director,actor2,genres,actor1,title,actor3,comb
Garry Marshall,Taylor Lautner,Comedy Romance,Bradley Cooper,valentine's day,Anne Hathaway,Bradley Cooper Taylor Lautner Anne Hathaway Garry Marshall Comedy Romance
Jay Chandrasekhar,Jessica Simpson,Action Adventure Comedy,Alice Greczyn,the dukes of hazzard,Michael Weston,Alice Greczyn Jessica Simpson Michael Weston Jay Chandrasekhar Action Adventure Comedy
Terrence Malick,Miranda Otto,Drama War,Nick Stahl,the thin red line,Dash Mihok,Nick Stahl Miranda Otto Dash Mihok Terrence Malick Drama War
David Dobkin,Olivia Wilde,Comedy Fantasy,Ryan Reynolds,the change-up,Mircea Monroe,Ryan Reynolds Olivia Wilde Mircea Monroe David Dobkin Comedy Fantasy
Milos Forman,Gerry Becker,Biography Comedy Drama,Matt Price,man on the moon,Tom Dreesen,Matt Price Gerry Becker Tom Dreesen Milos Forman Biography Comedy Drama
Martin Scorsese,Don Rickles,Biography Crime Drama,Robert De Niro,casino,Kevin Pollak,Robert De Niro Don Rickles Kevin Pollak Martin Scorsese Biography Crime Drama
Pierre Morel,Amber Rose Revah,Action Thriller,Kasia Smutniak,from paris with love,Rebecca Dayan,Kasia Smutniak Amber Rose Revah Rebecca Dayan Pierre Morel Action Thriller
Paul Hunter,Mako,Action Comedy Fantasy,Jaime King,bulletproof monk,Victoria Smurfit,Jaime King Mako Victoria Smurfit Paul Hunter Action Comedy Fantasy
Bobby Farrelly,Tony Cox,Comedy,Robert Forster,"me, myself & irene",Rob Moran,Robert Forster Tony Cox Rob Moran Bobby Farrelly Comedy
Steve Oedekerk,Wanda Sykes,Animation Comedy Family,Rob Paulsen,barnyard,Maurice LaMarche,Rob Paulsen Wanda Sykes Maurice LaMarche Steve Oedekerk Animation Comedy Family
John Whitesell,Jorge Garcia,Comedy Family,Matthew Broderick,deck the halls,Alia Shawkat,Matthew Broderick Jorge Garcia Alia Shawkat John Whitesell Comedy Family
Chris Weitz,Kristen Stewart,Adventure Drama Fantasy Romance,Robert Pattinson,the twilight saga: new moon,Taylor Lautner,Robert Pattinson Kristen Stewart Taylor Lautner Chris Weitz Adventure Drama Fantasy Romance
Andrew Adamson,Chris Miller,Adventure Animation Comedy Family Fantasy,Kathleen Freeman,shrek,Bobby Block,Kathleen Freeman Chris Miller Bobby Block Andrew Adamson Adventure Animation Comedy Family Fantasy
George Nolfi,Michael Kelly,Romance Sci-Fi Thriller,Matt Damon,the adjustment bureau,Jon Stewart,Matt Damon Michael Kelly Jon Stewart George Nolfi Romance Sci-Fi Thriller
Kevin Reynolds,Morgan Freeman,Action Adventure Drama Romance,Alan Rickman,robin hood: prince of thieves,Michael Wincott,Alan Rickman Morgan Freeman Michael Wincott Kevin Reynolds Action Adventure Drama Romance
Cameron Crowe,Kelly Preston,Comedy Drama Romance Sport,Tom Cruise,jerry maguire,Bonnie Hunt,Tom Cruise Kelly Preston Bonnie Hunt Cameron Crowe Comedy Drama Romance Sport
Seth MacFarlane,Seth MacFarlane,Comedy Fantasy,Mila Kunis,ted,Tom Skerritt,Mila Kunis Seth MacFarlane Tom Skerritt Seth MacFarlane Comedy Fantasy
James L. Brooks,Yeardley Smith,Comedy Drama Romance,Lupe Ontiveros,as good as it gets,Shirley Knight,Lupe Ontiveros Yeardley Smith Shirley Knight James L. Brooks Comedy Drama Romance
Tom Shadyac,Philip Seymour Hoffman,Biography Comedy Drama Romance,Robin Williams,patch adams,Monica Potter,Robin Williams Philip Seymour Hoffman Monica Potter Tom Shadyac Biography Comedy Drama Romance
Adam McKay,Will Ferrell,Comedy,Harrison Ford,anchorman 2: the legend continues,Steve Carell,Harrison Ford Will Ferrell Steve Carell Adam McKay Comedy
Steven Brill,Adam Sandler,Comedy Romance,Steve Buscemi,mr. deeds,Peter Gallagher,Steve Buscemi Adam Sandler Peter Gallagher Steven Brill Comedy Romance
J.J. Abrams,AJ Michalka,Mystery Sci-Fi Thriller,Joel Courtney,super 8,Zach Mills,Joel Courtney AJ Michalka Zach Mills J.J. Abrams Mystery Sci-Fi Thriller
Steven Soderbergh,Albert Finney,Biography Drama,Julia Roberts,erin brockovich,Conchata Ferrell,Julia Roberts Albert Finney Conchata Ferrell Steven Soderbergh Biography Drama
Donald Petrie,Adam Goldberg,Comedy Romance,Matthew McConaughey,how to lose a guy in 10 days,Thomas Lennon,Matthew McConaughey Adam Goldberg Thomas Lennon Donald Petrie Comedy Romance
Phil Lord,Craig Roberts,Action Comedy Crime,Channing Tatum,22 jump street,Amber Stevens West,Channing Tatum Craig Roberts Amber Stevens West Phil Lord Action Comedy Crime
Neil Jordan,Tom Cruise,Drama Fantasy Horror,Brad Pitt,interview with the vampire: the vampire chronicles,Kirsten Dunst,Brad Pitt Tom Cruise Kirsten Dunst Neil Jordan Drama Fantasy Horror
Peyton Reed,Zooey Deschanel,Comedy Romance,Bradley Cooper,yes man,Danny Masterson,Bradley Cooper Zooey Deschanel Danny Masterson Peyton Reed Comedy Romance
Rawson Marshall Thurber,Thomas Kretschmann,Action Comedy Crime,Dwayne Johnson,central intelligence,Megan Park,Dwayne Johnson Thomas Kretschmann Megan Park Rawson Marshall Thurber Action Comedy Crime
Chris Columbus,Liam Aiken,Comedy Drama,Julia Roberts,stepmom,Herbert Russell,Julia Roberts Liam Aiken Herbert Russell Chris Columbus Comedy Drama
Sean Anders,Linda Cardellini,Comedy Family,Will Ferrell,daddy's home,Mark L. Young,Will Ferrell Linda Cardellini Mark L. Young Sean Anders Comedy Family
Rob Marshall,Meryl Streep,Adventure Comedy Drama Fantasy Musical,Johnny Depp,into the woods,Anna Kendrick,Johnny Depp Meryl Streep Anna Kendrick Rob Marshall Adventure Comedy Drama Fantasy Musical
Spike Lee,James Ransone,Crime Drama Mystery Thriller,Denzel Washington,inside man,Peter Gerety,Denzel Washington James Ransone Peter Gerety Spike Lee Crime Drama Mystery Thriller
Brian Helgeland,Deborah Kara Unger,Action Crime Drama Thriller,Bill Duke,payback,William Devane,Bill Duke Deborah Kara Unger William Devane Brian Helgeland Action Crime Drama Thriller
Frank Marshall,Joe Don Baker,Action Adventure Mystery Sci-Fi,Dylan Walsh,congo,Grant Heslov,Dylan Walsh Joe Don Baker Grant Heslov Frank Marshall Action Adventure Mystery Sci-Fi
Cameron Crowe,Matt Damon,Comedy Drama Family,Scarlett Johansson,we bought a zoo,Stephanie Szostak,Scarlett Johansson Matt Damon Stephanie Szostak Cameron Crowe Comedy Drama Family
Alex Proyas,Ben Mendelsohn,Drama Mystery Sci-Fi Thriller,Nicolas Cage,knowing,Chandler Canterbury,Nicolas Cage Ben Mendelsohn Chandler Canterbury Alex Proyas Drama Mystery Sci-Fi Thriller
Tom Dey,Matthew McConaughey,Comedy Romance,Bradley Cooper,failure to launch,Zooey Deschanel,Bradley Cooper Matthew McConaughey Zooey Deschanel Tom Dey Comedy Romance
Hideo Nakata,Gary Cole,Horror Mystery,Naomi Watts,the ring two,Sissy Spacek,Naomi Watts Gary Cole Sissy Spacek Hideo Nakata Horror Mystery
Glenn Ficarra,Emma Stone,Comedy Drama Romance,Ryan Gosling,"crazy, stupid, love.",Steve Carell,Ryan Gosling Emma Stone Steve Carell Glenn Ficarra Comedy Drama Romance
Peter Hewitt,Mark Christopher Lawrence,Animation Comedy Family Fantasy,Bill Murray,garfield,Michael Monks,Bill Murray Mark Christopher Lawrence Michael Monks Peter Hewitt Animation Comedy Family Fantasy
Joe Roth,Cheech Marin,Comedy Family,Jamie Lee Curtis,christmas with the kranks,Jake Busey,Jamie Lee Curtis Cheech Marin Jake Busey Joe Roth Comedy Family
Bennett Miller,Robin Wright,Biography Drama Sport,Philip Seymour Hoffman,moneyball,Brad Pitt,Philip Seymour Hoffman Robin Wright Brad Pitt Bennett Miller Biography Drama Sport
Wolfgang Petersen,Morgan Freeman,Action Drama Thriller,Kevin Spacey,outbreak,Rene Russo,Kevin Spacey Morgan Freeman Rene Russo Wolfgang Petersen Action Drama Thriller
Jaume Collet-Serra,Nate Parker,Action Mystery Thriller,Liam Neeson,non-stop,Scoot McNairy,Liam Neeson Nate Parker Scoot McNairy Jaume Collet-Serra Action Mystery Thriller
Andy Fickman,Billy Brown,Action Adventure Family Fantasy Sci-Fi Thriller,Dwayne Johnson,race to witch mountain,Tom Everett Scott,Dwayne Johnson Billy Brown Tom Everett Scott Andy Fickman Action Adventure Family Fantasy Sci-Fi Thriller
James McTeigue,Eddie Marsan,Action Drama Thriller,Natalie Portman,v for vendetta,Rupert Graves,Natalie Portman Eddie Marsan Rupert Graves James McTeigue Action Drama Thriller
David Dobkin,Anna-Louise Plowman,Action Adventure Comedy,Fann Wong,shanghai knights,Georgina Chapman,Fann Wong Anna-Louise Plowman Georgina Chapman David Dobkin Action Adventure Comedy
,Gemma Jones,Crime Drama,Bernard Hill,unforgotten            ,Nicola Walker,Bernard Hill Gemma Jones Nicola Walker  Crime Drama
Matthew O'Callaghan,Frank Welker,Adventure Animation Comedy Family,Will Ferrell,curious george,Alexander Gould,Will Ferrell Frank Welker Alexander Gould Matthew O'Callaghan Adventure Animation Comedy Family
Angela Robinson,Thomas Lennon,Adventure Comedy Family Fantasy Romance Sport,Scoot McNairy,herbie fully loaded,Cheryl Hines,Scoot McNairy Thomas Lennon Cheryl Hines Angela Robinson Adventure Comedy Family Fantasy Romance Sport
Gary Fleder,Jennifer Esposito,Crime Drama Mystery Thriller,Oliver Platt,don't say a word,Conrad Goode,Oliver Platt Jennifer Esposito Conrad Goode Gary Fleder Crime Drama Mystery Thriller
Tommy Wirkola,Derek Mears,Action Fantasy Horror,Jeremy Renner,hansel & gretel: witch hunters,Ingrid Bolsø Berdal,Jeremy Renner Derek Mears Ingrid Bolsø Berdal Tommy Wirkola Action Fantasy Horror
Adrian Lyne,Erik Per Sullivan,Drama Thriller,Olivier Martinez,unfaithful,Chad Lowe,Olivier Martinez Erik Per Sullivan Chad Lowe Adrian Lyne Drama Thriller
D.J. Caruso,Emily Wickersham,Action Adventure Sci-Fi Thriller,Alex Pettyfer,i am number four,Reuben Langdon,Alex Pettyfer Emily Wickersham Reuben Langdon D.J. Caruso Action Adventure Sci-Fi Thriller
Michael Bay,James Badge Dale,Action Drama Thriller War,Toby Stephens,13 hours,David Costabile,Toby Stephens James Badge Dale David Costabile Michael Bay Action Drama Thriller War
Jorge R. Gutiérrez,Hector Elizondo,Adventure Animation Comedy Family Fantasy Romance,Channing Tatum,the book of life,Ana de la Reguera,Channing Tatum Hector Elizondo Ana de la Reguera Jorge R. Gutiérrez Adventure Animation Comedy Family Fantasy Romance
Richard Loncraine,Harrison Ford,Crime Thriller,Jimmy Bennett,firewall,Mary Lynn Rajskub,Jimmy Bennett Harrison Ford Mary Lynn Rajskub Richard Loncraine Crime Thriller
Clint Eastwood,Mark Margolis,Action Crime Drama Thriller,Clint Eastwood,absolute power,Scott Glenn,Clint Eastwood Mark Margolis Scott Glenn Clint Eastwood Action Crime Drama Thriller
Ridley Scott,Demi Moore,Action Drama War,Viggo Mortensen,g.i. jane,John Michael Higgins,Viggo Mortensen Demi Moore John Michael Higgins Ridley Scott Action Drama War
David Fincher,Armin Mueller-Stahl,Drama Mystery Thriller,Deborah Kara Unger,the game,Charles Martinet,Deborah Kara Unger Armin Mueller-Stahl Charles Martinet David Fincher Drama Mystery Thriller
Christophe Gans,Deborah Kara Unger,Adventure Horror Mystery,Radha Mitchell,silent hill,Alice Krige,Radha Mitchell Deborah Kara Unger Alice Krige Christophe Gans Adventure Horror Mystery
Howard Deutch,Jon Favreau,Comedy Sport,Keanu Reeves,the replacements,Faizon Love,Keanu Reeves Jon Favreau Faizon Love Howard Deutch Comedy Sport
Jon Hurwitz,Dania Ramirez,Comedy,Alyson Hannigan,american reunion,Natasha Lyonne,Alyson Hannigan Dania Ramirez Natasha Lyonne Jon Hurwitz Comedy
F. Gary Gray,Michael Cudlitz,Action Crime Drama Mystery Thriller,Kevin Spacey,the negotiator,Siobhan Fallon Hogan,Kevin Spacey Michael Cudlitz Siobhan Fallon Hogan F. Gary Gray Action Crime Drama Mystery Thriller
Steven Quale,Alycia Debnam-Carey,Action Thriller,Matt Walsh,into the storm,Scott Lawrence,Matt Walsh Alycia Debnam-Carey Scott Lawrence Steven Quale Action Thriller
John Landis,Jon Tenney,Action Comedy Crime Thriller,Louis Lombardi,beverly hills cop iii,Gilbert R. Hill,Louis Lombardi Jon Tenney Gilbert R. Hill John Landis Action Comedy Crime Thriller
Joe Dante,Robert Picardo,Comedy Fantasy Horror,Christopher Lee,gremlins 2: the new batch,Phoebe Cates,Christopher Lee Robert Picardo Phoebe Cates Joe Dante Comedy Fantasy Horror
David Dobkin,Robert Duvall,Crime Drama,Robert Downey Jr.,the judge,Leighton Meester,Robert Downey Jr. Robert Duvall Leighton Meester David Dobkin Crime Drama
Mimi Leder,Holt McCallany,Action Thriller,Armin Mueller-Stahl,the peacemaker,Marcel Iures,Armin Mueller-Stahl Holt McCallany Marcel Iures Mimi Leder Action Thriller
Alexander Witt,Thomas Kretschmann,Action Horror Sci-Fi Thriller,Milla Jovovich,resident evil: apocalypse,Mike Epps,Milla Jovovich Thomas Kretschmann Mike Epps Alexander Witt Action Horror Sci-Fi Thriller
Beeban Kidron,Jim Broadbent,Comedy Drama Romance,Colin Firth,bridget jones: the edge of reason,Celia Imrie,Colin Firth Jim Broadbent Celia Imrie Beeban Kidron Comedy Drama Romance
Carl Franklin,Sanaa Lathan,Crime Drama Romance Thriller,Denzel Washington,out of time,John Billingsley,Denzel Washington Sanaa Lathan John Billingsley Carl Franklin Crime Drama Romance Thriller
Steven Seagal,Joan Chen,Action Adventure Thriller,Mike Starr,on deadly ground,Sven-Ole Thorsen,Mike Starr Joan Chen Sven-Ole Thorsen Steven Seagal Action Adventure Thriller
Robert Rodriguez,Kristin Davis,Action Adventure Family Fantasy,Taylor Lautner,the adventures of sharkboy and lavagirl 3-d,Taylor Dooley,Taylor Lautner Kristin Davis Taylor Dooley Robert Rodriguez Action Adventure Family Fantasy
Danny Boyle,Virginie Ledoyen,Adventure Drama Thriller,Leonardo DiCaprio,the beach,Peter Youngblood Hills,Leonardo DiCaprio Virginie Ledoyen Peter Youngblood Hills Danny Boyle Adventure Drama Thriller
Garry Marshall,Felicity Huffman,Comedy Drama Romance,Amber Valletta,raising helen,Spencer Breslin,Amber Valletta Felicity Huffman Spencer Breslin Garry Marshall Comedy Drama Romance
James McTeigue,Ben Miles,Action Crime Thriller,Shô Kosugi,ninja assassin,Rain,Shô Kosugi Ben Miles Rain James McTeigue Action Crime Thriller
Sam Raimi,Kelly Preston,Drama Romance Sport,J.K. Simmons,for love of the game,Carmine Giovinazzo,J.K. Simmons Kelly Preston Carmine Giovinazzo Sam Raimi Drama Romance Sport
,Bruce Alexander,Crime Drama Mystery,David Jason,a touch of frost            ,John Lyons,David Jason Bruce Alexander John Lyons  Crime Drama Mystery
Andrew Bergman,Rumer Willis,Comedy Crime Drama Thriller,Demi Moore,striptease,Paul Guilfoyle,Demi Moore Rumer Willis Paul Guilfoyle Andrew Bergman Comedy Crime Drama Thriller
Tom Dey,Judy Greer,Comedy Family,Emma Stone,marmaduke,Steve Coogan,Emma Stone Judy Greer Steve Coogan Tom Dey Comedy Family
Clint Eastwood,Jay Mohr,Drama Fantasy,Matt Damon,hereafter,Cécile De France,Matt Damon Jay Mohr Cécile De France Clint Eastwood Drama Fantasy
Richard Donner,Sylvester Stallone,Action Crime Thriller,Muse Watson,assassins,Kelly Rowan,Muse Watson Sylvester Stallone Kelly Rowan Richard Donner Action Crime Thriller
Peter Webber,Stephen Walters,Crime Drama Thriller,Li Gong,hannibal rising,Richard Brake,Li Gong Stephen Walters Richard Brake Peter Webber Crime Drama Thriller
Rob Reiner,Tim Matheson,Comedy Drama Romance,Bruce Willis,the story of us,Rita Wilson,Bruce Willis Tim Matheson Rita Wilson Rob Reiner Comedy Drama Romance
Andrew Niccol,Chandler Canterbury,Action Adventure Romance Sci-Fi Thriller,J.D. Evermore,the host,Rachel Roberts,J.D. Evermore Chandler Canterbury Rachel Roberts Andrew Niccol Action Adventure Romance Sci-Fi Thriller
John McTiernan,Harry Connick Jr.,Action Crime Drama Mystery Thriller,Connie Nielsen,basic,Tim Daly,Connie Nielsen Harry Connick Jr. Tim Daly John McTiernan Action Crime Drama Mystery Thriller
Clint Eastwood,Anjelica Huston,Action Crime Drama Mystery Thriller,Clint Eastwood,blood work,Rick Hoffman,Clint Eastwood Anjelica Huston Rick Hoffman Clint Eastwood Action Crime Drama Mystery Thriller
Tom Tykwer,Brían F. O'Byrne,Action Crime Drama Mystery Thriller,Naomi Watts,the international,Armin Mueller-Stahl,Naomi Watts Brían F. O'Byrne Armin Mueller-Stahl Tom Tykwer Action Crime Drama Mystery Thriller
John Carpenter,Valeria Golino,Action Adventure Sci-Fi Thriller,Steve Buscemi,escape from l.a.,Michelle Forbes,Steve Buscemi Valeria Golino Michelle Forbes John Carpenter Action Adventure Sci-Fi Thriller
,Brittany Curran,Drama Mystery Thriller,Grey Damon,twisted            ,Aaron Hill,Grey Damon Brittany Curran Aaron Hill  Drama Mystery Thriller
Brad Bird,Harry Connick Jr.,Action Adventure Animation Comedy Drama Family Sci-Fi,Vin Diesel,the iron giant,M. Emmet Walsh,Vin Diesel Harry Connick Jr. M. Emmet Walsh Brad Bird Action Adventure Animation Comedy Drama Family Sci-Fi
Wes Anderson,Anjelica Huston,Adventure Comedy Drama,Bill Murray,the life aquatic with steve zissou,Matthew Gray Gubler,Bill Murray Anjelica Huston Matthew Gray Gubler Wes Anderson Adventure Comedy Drama
Gary Ross,Donald Watkins,Action Biography Drama History War,Matthew McConaughey,free state of jones,Jessica Collins,Matthew McConaughey Donald Watkins Jessica Collins Gary Ross Action Biography Drama History War
Alan Parker,Kate Winslet,Crime Drama Thriller,Kevin Spacey,the life of david gale,Matt Craven,Kevin Spacey Kate Winslet Matt Craven Alan Parker Crime Drama Thriller
Stephen Herek,Vanessa Ferlito,Action Comedy,Christina Milian,man of the house,Kelli Garner,Christina Milian Vanessa Ferlito Kelli Garner Stephen Herek Action Comedy
Jaume Collet-Serra,Common,Action Crime Drama Thriller,Liam Neeson,run all night,Bruce McGill,Liam Neeson Common Bruce McGill Jaume Collet-Serra Action Crime Drama Thriller
David Cronenberg,Naomi Watts,Crime Mystery Thriller,Viggo Mortensen,eastern promises,Raza Jaffrey,Viggo Mortensen Naomi Watts Raza Jaffrey David Cronenberg Crime Mystery Thriller
John Stockwell,James Frain,Action Adventure Crime Thriller,Paul Walker,into the blue,Ashley Scott,Paul Walker James Frain Ashley Scott John Stockwell Action Adventure Crime Thriller
Luc Besson,David Bailie,Adventure Biography Drama History War,Paul Brooke,the messenger: the story of joan of arc,Rab Affleck,Paul Brooke David Bailie Rab Affleck Luc Besson Adventure Biography Drama History War
David Gordon Green,Zooey Deschanel,Adventure Comedy Fantasy,Natalie Portman,your highness,James Franco,Natalie Portman Zooey Deschanel James Franco David Gordon Green Adventure Comedy Fantasy
Jim Sheridan,Gregory Smith,Drama Mystery Thriller,Naomi Watts,dream house,Sarah Gadon,Naomi Watts Gregory Smith Sarah Gadon Jim Sheridan Drama Mystery Thriller
Costa-Gavras,Blythe Danner,Crime Drama Thriller,Mia Kirshner,mad city,William Atherton,Mia Kirshner Blythe Danner William Atherton Costa-Gavras Crime Drama Thriller
Patrick Read Johnson,Lara Flynn Boyle,Adventure Comedy Crime Drama Family,Joe Mantegna,baby's day out,Cynthia Nixon,Joe Mantegna Lara Flynn Boyle Cynthia Nixon Patrick Read Johnson Adventure Comedy Crime Drama Family
Roland Joffé,Robert Duvall,Drama Romance,Gary Oldman,the scarlet letter,Demi Moore,Gary Oldman Robert Duvall Demi Moore Roland Joffé Drama Romance
Doug Liman,Ty Burrell,Biography Drama Thriller,Naomi Watts,fair game,Brooke Smith,Naomi Watts Ty Burrell Brooke Smith Doug Liman Biography Drama Thriller
,Tony Curran,Action Drama Sci-Fi,Julie Benz,defiance            ,Grant Bowler,Julie Benz Tony Curran Grant Bowler  Action Drama Sci-Fi
Tony Scott,Mo'Nique,Action Biography Crime Drama Thriller,Ian Ziering,domino,Edgar Ramírez,Ian Ziering Mo'Nique Edgar Ramírez Tony Scott Action Biography Crime Drama Thriller
William Friedkin,Chazz Palminteri,Crime Drama Thriller,Michael Biehn,jade,Linda Fiorentino,Michael Biehn Chazz Palminteri Linda Fiorentino William Friedkin Crime Drama Thriller
Mark Neveldine,Logan Lerman,Action Sci-Fi Thriller,Gerard Butler,gamer,Alison Lohman,Gerard Butler Logan Lerman Alison Lohman Mark Neveldine Action Sci-Fi Thriller
Richard LaGravenese,Zoey Deutch,Drama Fantasy Romance,Alden Ehrenreich,beautiful creatures,Pruitt Taylor Vince,Alden Ehrenreich Zoey Deutch Pruitt Taylor Vince Richard LaGravenese Drama Fantasy Romance
Danny DeVito,Vincent Schiavelli,Comedy Crime Drama Thriller,Robin Williams,death to smoochy,Danny Woodburn,Robin Williams Vincent Schiavelli Danny Woodburn Danny DeVito Comedy Crime Drama Thriller
Ben Stiller,Will Ferrell,Comedy,Milla Jovovich,zoolander 2,Justin Theroux,Milla Jovovich Will Ferrell Justin Theroux Ben Stiller Comedy
George Armitage,Andrew Wilson,Comedy Crime,Morgan Freeman,the big bounce,Willie Nelson,Morgan Freeman Andrew Wilson Willie Nelson George Armitage Comedy Crime
Mike Nichols,Linda Fiorentino,Comedy Sci-Fi,Judy Greer,what planet are you from?,Garry Shandling,Judy Greer Linda Fiorentino Garry Shandling Mike Nichols Comedy Sci-Fi
Patrick Lussier,Billy Burke,Action Fantasy Thriller,Nicolas Cage,drive angry,Katy Mixon,Nicolas Cage Billy Burke Katy Mixon Patrick Lussier Action Fantasy Thriller
Andrzej Bartkowiak,Robin Shou,Action Crime Drama Mystery Thriller,Chris Klein,street fighter: the legend of chun-li,Josie Ho,Chris Klein Robin Shou Josie Ho Andrzej Bartkowiak Action Crime Drama Mystery Thriller
James Wong,Jet Li,Action Sci-Fi Thriller,Jason Statham,the one,Delroy Lindo,Jason Statham Jet Li Delroy Lindo James Wong Action Sci-Fi Thriller
,Graham McTavish,Drama Romance Sci-Fi,Tobias Menzies,outlander            ,Stephen Walters,Tobias Menzies Graham McTavish Stephen Walters  Drama Romance Sci-Fi
Renny Harlin,Gilbert Gottfried,Action Adventure Comedy Crime Music Mystery,Lauren Holly,the adventures of ford fairlane,David Patrick Kelly,Lauren Holly Gilbert Gottfried David Patrick Kelly Renny Harlin Action Adventure Comedy Crime Music Mystery
Richard Curtis,Charlie Rowe,Comedy Drama Music,Philip Seymour Hoffman,pirate radio,Tom Sturridge,Philip Seymour Hoffman Charlie Rowe Tom Sturridge Richard Curtis Comedy Drama Music
Steven Soderbergh,Jacob Vargas,Crime Drama Thriller,Michael O'Neill,traffic,James Lew,Michael O'Neill Jacob Vargas James Lew Steven Soderbergh Crime Drama Thriller
Steven Spielberg,Julian Glover,Action Adventure Fantasy,Harrison Ford,indiana jones and the last crusade,Alison Doody,Harrison Ford Julian Glover Alison Doody Steven Spielberg Action Adventure Fantasy
Joe Wright,Guro Nagelhus Schia,Drama Romance,Kelly Macdonald,anna karenina,Matthew Macfadyen,Kelly Macdonald Guro Nagelhus Schia Matthew Macfadyen Joe Wright Drama Romance
Neill Blomkamp,Sharlto Copley,Action Crime Drama Sci-Fi Thriller,Hugh Jackman,chappie,Jose Pablo Cantillo,Hugh Jackman Sharlto Copley Jose Pablo Cantillo Neill Blomkamp Action Crime Drama Sci-Fi Thriller
Phillip Noyce,Angelina Jolie Pitt,Crime Drama Mystery Thriller,Denzel Washington,the bone collector,Leland Orser,Denzel Washington Angelina Jolie Pitt Leland Orser Phillip Noyce Crime Drama Mystery Thriller
David Fincher,Dwight Yoakam,Crime Drama Thriller,Kristen Stewart,panic room,Mel Rodriguez,Kristen Stewart Dwight Yoakam Mel Rodriguez David Fincher Crime Drama Thriller
Chuck Bowman,Lochlyn Munro,Horror Thriller,P.J. Soles,the tooth fairy,Steve Bacic,P.J. Soles Lochlyn Munro Steve Bacic Chuck Bowman Horror Thriller
David O. Russell,Jamie Kennedy,Action Adventure Comedy Drama War,Judy Greer,three kings,Mykelti Williamson,Judy Greer Jamie Kennedy Mykelti Williamson David O. Russell Action Adventure Comedy Drama War
Daniel Espinosa,Fares Fares,Crime Drama Thriller,Tom Hardy,child 44,Michael Nardone,Tom Hardy Fares Fares Michael Nardone Daniel Espinosa Crime Drama Thriller
Jerry Zucker,Douglas Haase,Adventure Comedy,Corinna Harney,rat race,Vince Vieluf,Corinna Harney Douglas Haase Vince Vieluf Jerry Zucker Adventure Comedy
Iain Softley,Jeff Bridges,Drama Mystery Sci-Fi,Kevin Spacey,k-pax,Alfre Woodard,Kevin Spacey Jeff Bridges Alfre Woodard Iain Softley Drama Mystery Sci-Fi
James Mangold,Natasha Lyonne,Comedy Fantasy Romance,Hugh Jackman,kate & leopold,Bradley Whitford,Hugh Jackman Natasha Lyonne Bradley Whitford James Mangold Comedy Fantasy Romance
Harold Ramis,Frances O'Connor,Comedy Fantasy Romance,Brendan Fraser,bedazzled,Brian Doyle-Murray,Brendan Fraser Frances O'Connor Brian Doyle-Murray Harold Ramis Comedy Fantasy Romance
Francis Ford Coppola,Bob Hoskins,Crime Drama Music,Nicolas Cage,the cotton club,Fred Gwynne,Nicolas Cage Bob Hoskins Fred Gwynne Francis Ford Coppola Crime Drama Music
James Mangold,Logan Lerman,Adventure Crime Drama Western,Christian Bale,3:10 to yuma,Gretchen Mol,Christian Bale Logan Lerman Gretchen Mol James Mangold Adventure Crime Drama Western
Olivier Megaton,Dougray Scott,Action Thriller,Liam Neeson,taken 3,Jon Gries,Liam Neeson Dougray Scott Jon Gries Olivier Megaton Action Thriller
Steven Soderbergh,Albert Brooks,Crime Drama Romance Thriller,Don Cheadle,out of sight,Keith Hudson,Don Cheadle Albert Brooks Keith Hudson Steven Soderbergh Crime Drama Romance Thriller
Ben Stiller,Janeane Garofalo,Comedy Drama Thriller,Matthew Broderick,the cable guy,Andy Dick,Matthew Broderick Janeane Garofalo Andy Dick Ben Stiller Comedy Drama Thriller
Warren Beatty,Warren Beatty,Action Comedy Crime Music Romance Thriller,Charlie Korsmo,dick tracy,Seymour Cassel,Charlie Korsmo Warren Beatty Seymour Cassel Warren Beatty Action Comedy Crime Music Romance Thriller
John McTiernan,Faye Dunaway,Crime Romance Thriller,Mark Margolis,the thomas crown affair,Denis Leary,Mark Margolis Faye Dunaway Denis Leary John McTiernan Crime Romance Thriller
Penny Marshall,Adam Garcia,Biography Comedy Drama,Rosie Perez,riding in cars with boys,Alissa Dean,Rosie Perez Adam Garcia Alissa Dean Penny Marshall Biography Comedy Drama
Paul Bolger,George Carlin,Adventure Animation Comedy Family Fantasy,Sarah Michelle Gellar,happily n'ever after,Rob Paulsen,Sarah Michelle Gellar George Carlin Rob Paulsen Paul Bolger Adventure Animation Comedy Family Fantasy
Stephen Frears,Bronagh Gallagher,Drama Horror Romance Thriller,Julia Roberts,mary reilly,George Cole,Julia Roberts Bronagh Gallagher George Cole Stephen Frears Drama Horror Romance Thriller
P.J. Hogan,Christopher Masterson,Comedy Romance,Julia Roberts,my best friend's wedding,Rupert Everett,Julia Roberts Christopher Masterson Rupert Everett P.J. Hogan Comedy Romance
Joe Roth,Rainn Wilson,Comedy Romance,Julia Roberts,america's sweethearts,Larry King,Julia Roberts Rainn Wilson Larry King Joe Roth Comedy Romance
Christopher Nolan,Maura Tierney,Drama Mystery Thriller,Al Pacino,insomnia,Crystal Lowe,Al Pacino Maura Tierney Crystal Lowe Christopher Nolan Drama Mystery Thriller
